external_id;name;slug
КА-00004241;Аккумулятор 2FDK Ni-MH HR-4/3AU 4000mAh Производство: Япония. Ввоз: Литва;draft-c0e74b0713037b83
КА-00004242;Адаптер/блок питания ROBITON IR9-500S;draft-edf264c1eef6b02d
КА-00004243;Батарейка FUJI FDK CR8-LHC 3V /Китай/;draft-f9ce153ccc8ffb95
КА-00004244;Кабель выносного микрофона  M8660 mic line /Китай/;draft-e6f303aedbe2f3b1
КА-00004245;Ручка переключения каналов  P8668 bottom /Китай/;draft-9c6ff5431af9f8cc
КА-00004246;Ручка громкости P8660 bottom /Китай/;draft-5517d98bb4be8339
КА-00004247;Контактная группа M8660 contact piece /Китай/;draft-eb94b3cbb70faf28
КА-00004248;Разъем M8660 power source /Китай/;draft-d14b9f67c619b5bb
КА-00004249;Аккумулятор Fiamm 12FIT60 /Китай/;draft-91017404fd764a92
КА-00004250;Аккумулятор EVE 2 INR18650- 3500mAh-10A 7,4V /Китай/;draft-d82d879cb8ae3d1e
КА-00004251;Кабель SIPU Patch Cat5e (10м), страна производитель Китай;draft-a7970644c3d86576
КА-00004252;Аккумулятор Li-ion PMNN4259Ar 2075mAh 7,4V /Китай/;draft-094f32c02bbff8eb
КА-00004253;Аккумулятор литиевый SAMSUNG 10INR18650-25R 18B 5000mah 20A;draft-e9d7e39a20b145c7
КА-00004254;Аккумулятор 2Samsung INR18650-35E 3,7V 7,0Ah 10A, страна происх. Корея;draft-d13b1a3a422f162d
КА-00004255;Аккумулятор Ni-MH CS-TRM350SL 3800mAh 7.2V /Китай/;draft-72fd826006a5c416
КА-00004256;Аккумулятор литиевый 7WNW1 11,4V 4342mAh (Dell 5424) /Китай/;draft-7638128bd7ef2f70
КА-00004257;Элемент питания ROBITON PLUS R-R20-SR2 R20 SR2, в упак  12 ш;draft-03c1886b67f0e457
КА-00004258;Элемент питания ROBITON STANDARD LR14 SR2, в упак 12 шт;draft-b950c5f0869f2538
КА-00004259;Батарея литиевая 2*CR17335-SE 6 V/Китай;draft-4349734c31305d2b
КА-00004260;Аккумулятор 20NCR21700 36V 9700mah /Китай/;draft-bbb338a358c87bf3
КА-00004261;Аккумулятор Ni-Zn PKCELL AA 1,6v 2500mWh /Китай/;draft-0b2bab7c61e33e0e
КА-00004262;Аккумулятор Ni-Zn PKCELL AAА 1,6v 900mWh /Китай/;draft-cd7ee7a2a2213ec2
КА-00004263;Аккумулятор литиевый 5SAMSUNG INR18650-25R 18V 2500mah 20A /Китай/;draft-d53eb0d44ce95551
КА-00004264;Аккумулятор Ni-Mh NNTN4851A 7,2V 1800mAh /Китай/;draft-03ad8a7500b40581
КА-00004265;Аккумулятор ROBITON 900MHAAA -1 BL10 , страна происх. Китай;draft-71186ca228997c79
КА-00004266;Аккумулятор Ni-Mh NNTN4496 1800mAh 7.5V /Китай/;draft-d6313280b0373435
КА-00004267;Аккумулятор Samsung 4INR18650-35E 3450mAh-10A,7,4V 7,0 Ah страна происх. Корея;draft-b75db01c59eefbdb
КА-00004268;Батарея Mitsubishi MR-BAT6V1 1800mAh 6V /Китай/;draft-6bb5ff1c6d0aa889
КА-00004269;Аккумулятор Ni-Mh FNB-V106 1200mAh 7.2 V /Китай/;draft-668fddc811cca00a
КА-00004270;Аккумулятор li-ion FNB-V104LI 2000mAh 7.4 V /Китай/;draft-37758bbf28e97f3a
КА-00004271;Батарейка SAFT LITHIUM ABB 3HAC16831-1 10.8 V;draft-ec8d39a7eba51c47
КА-00004272;SB AA11 TC (Tekcell) с коннектором Литиевый элемент питания;draft-a153e55620402644
КА-00004273;Эл. питания CR3032 3V /Китай/;draft-809ac8184e98453e
КА-00004274;Аккумулятор литиевый BSL 18650 6600 mAh 3C Производство: Китай. Ввоз: Литва;draft-ea9d7fdc14f664a9
