Bitrix ID,Название сайта,Бренд
1759,"Аккумулятор Fiamm LM/S 3625 для ИБП (OPzS, 3625Ah)",4634
1761,"Аккумулятор Fiamm SMG 380 для ИБП (GEL, 380Ah)",4634
1764,"Аккумулятор Fiamm 2SLA405/4 (AGM, 400Ah)",4634
1766,"Аккумулятор Marathon L2V375 (AGM, 375Ah)",4652
1767,"Аккумулятор Marathon L 2V375 V0 (AGM, 375Ah)",4652
1768,"Аккумулятор Sonnenschein Dryfit A602/415 для ИБП (GEL, OPzV, 415Ah)",4678
1772,"Аккумулятор Marathon L2V425 (AGM, 425Ah)",4652
1773,"Аккумулятор Marathon L2V425 V0 (AGM, 425Ah)",4652
1774,"Аккумулятор Sonnenschein Dryfit A602/500 для ИБП (GEL, OPzV, 500Ah)",4678
1776,"Аккумулятор Marathon L2V470 (AGM, 470Ah)",4652
1777,"Аккумулятор Marathon L2V470 V0 (AGM, 470Ah)",4652
1778,"Аккумулятор Sonnenschein Dryfit A602/415 Solar для ИБП (GEL, OPzV, 415)",4678
1779,"Аккумулятор Marathon L2V520 (AGM, 520Ah)",4652
1780,"Аккумулятор Marathon L 2V520 V0 (AGM, 520Ah)",4652
1781,"Аккумулятор Sonnenschein Dryfit A602/580 для ИБП (GEL, OPzV, 580Ah)",4678
1783,"Аккумулятор Marathon L2V575 (AGM, 575Ah)",4652
1784,"Аккумулятор Marathon L2V575 V0 (AGM, 575Ah)",4652
1785,"Аккумулятор Sonnenschein Dryfit A602/500 Solar для ИБП (GEL, OPzV, 500Ah)",4678
1786,"Аккумулятор Sonnenschein Dryfit A602/750 Solar для ИБП (GEL, OPzV, 750Ah)",4678
1787,"Аккумулятор Sonnenschein Dryfit A602/750 для ИБП (GEL, OPzV, 750Ah)",4678
1789,"Аккумулятор Sonnenschein Dryfit A602/850 Solar для ИБП (GEL, OPzV, 850Ah)",4678
1791,"Аккумулятор Sonnenschein Dryfit A602/1010 для ИБП (GEL, OPzV, 998Ah)",4678
2260,"Аккумулятор Fiamm FG20086 (AGM, 0.8Ah)",4634
2295,Батарея аккумуляторная 40KL-160 P (без электролита) (ЗАИТ),4705
2296,Батарея аккумуляторная 40KL-160 P (с электролитом) (ЗАИТ),4705
2298,Батарея аккумуляторная 40KL-160 PK (с электролитом) (ЗАИТ),4705
2299,Батарея аккумуляторная 40KL-180 P (без электролита) (ЗАИТ),4705
2300,Батарея аккумуляторная 40KL-180 P (с электролитом) (ЗАИТ),4705
2301,Батарея аккумуляторная 40KL-250 P (без электролита) (ЗАИТ),4705
2302,Батарея аккумуляторная 40KL-250 P (с электролитом) (ЗАИТ),4705
2303,Батарея аккумуляторная 40KL-250 PK (без электролита) (ЗАИТ),4705
2304,Батарея аккумуляторная 40KL-250 PK (с электролитом) (ЗАИТ),4705
2305,Батарея аккумуляторная 40KL-300 P (без электролита) (ЗАИТ),4705
2306,Батарея аккумуляторная 40KL-300 P (с электролитом) (ЗАИТ),4705
2314,Батарея аккумуляторная 4НК- 55П (без электролита) (ЗАИТ),4705
2315,Батарея аккумуляторная 50KH-150 P (с электролитом) (ЗАИТ),4705
2316,Батарея аккумуляторная 50KH-220 PK (без электролита) (ЗАИТ),4705
2317,Батарея аккумуляторная 50KH-220 PK (с электролитом) (ЗАИТ),4705
2319,Батарея аккумуляторная 5KL- 55 P (5НК 55П),4701
2320,Батарея аккумуляторная 5KL- 80 P (5НК 80П),4701
2321,Батарея аккумуляторная 5KL-125 P (5НК 125П),4701
2322,Батарея аккумуляторная 5KM-100P,4704
2323,Батарея аккумуляторная 5KPL- 70P (без электролита) (ЗАИТ),4705
2324,Батарея аккумуляторная 5KPL- 70P (с электролитом) (ЗАИТ),4705
2325,Батарея аккумуляторная 5НК- 55П (без электролита) (ЗАИТ),4705
2327,Батарея аккумуляторная 5НК- 80-III (без электролита) (ЗАИТ),4705
2328,Батарея аккумуляторная 5НК-125 (без электролита) (ЗАИТ),4705
2329,Батарея аккумуляторная 5НК-125П-III (без электролита) (ЗАИТ),4705
2339,Батарея аккумуляторная 72KH-220 P (без электролита) (ЗАИТ),4705
2340,Батарея аккумуляторная 72KH-220 P (с электролитом) (ЗАИТ),4705
2341,Батарея аккумуляторная 75KH-150 P (без электролита) (ЗАИТ),4705
2342,Батарея аккумуляторная 75KH-150 P (с электролитом) (ЗАИТ),4705
2343,Батарея аккумуляторная 75KPH-150 P (без электролита) (ЗАИТ),4705
2344,Батарея аккумуляторная 75KPH-150 P (с электролитом) (ЗАИТ),4705
2348,Батарея аккумуляторная 84KL-160 P (без электролита) (ЗАИТ),4705
2349,Батарея аккумуляторная 84KL-160 P (с электролитом) (ЗАИТ),4705
2350,Батарея аккумуляторная 84КМ-300 Р,4701
2351,Батарея аккумуляторная 90KGL- 60 P (с электролитом) (ЗАИТ),4705
2352,Батарея аккумуляторная 90KGL-300 P (с электролитом) (ЗАИТ),4705
2353,Батарея аккумуляторная 90KL-180 P (без электролита) (ЗАИТ),4705
2354,Батарея аккумуляторная 90KL-180 P (с электролитом) (ЗАИТ),4705
2355,Батарея аккумуляторная 90KL-250 P (без электролита) (ЗАИТ),4705
2356,Батарея аккумуляторная 90KL-250 PК (без электролита) (ЗАИТ),4705
2357,Батарея аккумуляторная 90KL-250 PК (с электролитом) (ЗАИТ),4705
2358,Батарея аккумуляторная 90KL-300 P (без электролита) (ЗАИТ),4705
2359,Батарея аккумуляторная 90KL-300 P (с электролитом) (ЗАИТ),4705
2364,Батарея аккумуляторная 90КМ-260 Р,4701
2368,Батарея аккумуляторная 9НКЛБ-70 (без электролита) (ЗАИТ),4705
2389,Батарея аккумуляторная Гарантия 14/24-1,4699
2725,"Аккумулятор Yuasa NP 1.2-6 (AGM, 1.2Ah)",4697
2727,"Аккумулятор General Security GS 1.3-6 (AGM, 1.3Ah)",4637
2728,"Аккумулятор General Security GSL 1.3-6 (AGM, 1.3Ah)",4637
2730,"Аккумулятор Leoch DJW 6-1.3 (AGM, 1.3Ah)",4649
2731,"Аккумулятор WBR GP 613 (AGM, 1.3Ah)",4690
2732,"Аккумулятор CSB GP121000 (AGM, 100Ah)",4619
2733,"Аккумулятор CSB GPL121000 (AGM, 100Ah)",4619
2735,"Аккумулятор General Security GS 100-12 (AGM, 100Ah)",4637
2736,"Аккумулятор Leoch DJM 12100 (100Ah, 12V)",4649
2737,"Аккумулятор Leoch DJM 6100 (AGM, 100Ah)",4649
2738,"Аккумулятор Marathon M12V105FT (AGM, 100Ah)",4652
2739,"Аккумулятор Marathon M12V105FT V0 (AGM, 100Ah)",4652
2743,"Аккумулятор Sonnenschein Dryfit Solar Block SB 12/100 для ИБП (GEL, 100Ah)",4678
2744,"Аккумулятор WBR GPL 121000 (AGM, 100Ah)",4690
2746,"Аккумулятор Yuasa NPL 100-12 (AGM, 100Ah)",4697
2747,"Аккумулятор Восток PRO TC-12100 (AGM, 100Ah)",4702
2748,"Аккумулятор Восток PRO СX-12100 (AGM, 100Ah)",4702
2749,"Аккумулятор Восток PRO СК-12100 (AGM, 100Ah)",4702
2751,"Аккумулятор Sonnenschein A706/105 для ИБП (GEL, 105Ah)",4678
2754,"Аккумулятор Восток PRO TC-12105 (AGM, 105Ah)",4702
2755,"Аккумулятор Sonnenschein A506/10 S для ИБП (GEL, 10Ah)",4678
2757,"Аккумулятор Yuasa SWL3300 (AGM, 110Ah)",4697
2759,"Аккумулятор Marathon L6V110 (AGM, 110Ah)",4652
2760,"Аккумулятор Marathon L6V110 V0 (AGM, 112Ah)",4652
2761,"Аккумулятор Leoch DJM 12120 (AGM, 120Ah)",4649
2762,"Аккумулятор Security Force SF 12120 (AGM, 120Ah)",4676
2769,"Аккумулятор Marathon M12V125FT (AGM, 125Ah)",4652
2770,"Аккумулятор Marathon M12V125FT V0 (AGM, 125Ah)",4652
2771,"Аккумулятор Sprinter P6V1700 (AGM, 122Ah)",4681
2773,"Аккумулятор CSB TPL121250 (AGM, 125Ah)",4619
2774,"Аккумулятор Восток PRO TC-12125 (AGM, 125Ah)",4702
2775,"Аккумулятор Sonnenschein A706/126 для ИБП (GEL, 126Ah)",4678
2778,"Аккумулятор CSB GP6120 F2 (AGM, 12Ah)",4619
2780,"Аккумулятор General Security GS 12-6 (AGM, 12Ah)",4637
2782,"Аккумулятор General Security GSL 12-6 (AGM, 12Ah)",4637
2784,"Аккумулятор Leoch DJW 6-12 (AGM, 12Ah)",4649
2789,"Аккумулятор WBR GP 6120 (AGM, 12Ah)",4690
2790,"Аккумулятор WBR HR 1251W (AGM, 12Ah)",4690
2791,"Аккумулятор Yuasa NP 12-6 (AGM, 12Ah)",4697
2794,"Аккумулятор Sonnenschein Dryfit Solar Block SB 12/130 A для ИБП (GEL, 130Ah)",4678
