Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение
25997,"Аккумулятор LITJET PRO 1207 (LiFePO4, 7Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25998,"Аккумулятор LITJET PRO 1212 (LiFePO4, 12Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25999,"Аккумулятор LITJET PRO 1218 (LiFePO4, 18Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26000,"Аккумулятор LITJET PRO 1225 (LiFePO4, 25Ah, 12V)",25996,КА-00001605,,"Аккумулятор LiFePO4 25ah 3,2v",LIFEPO425AH,no,0.95,sig,КА-00001605,agree
26001,"Аккумулятор LITJET PRO 1240 (LiFePO4, 40Ah, 12V)",25996,ФР-00000703,,"Аккум. батарея NP12-40Ah, 12V 40Ah, Китай",40AH12V,no,0.85,sig,,new
26002,"Аккумулятор LITJET PRO 1275 (LiFePO4, 75Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26003,"Аккумулятор LITJET PRO 2460 (LiFePO4, 60Ah, 24V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26004,"Аккумулятор LITJET PRO 12150 (LiFePO4, 150Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26005,"Аккумулятор LITJET PRO 2480 (LiFePO4, 80Ah, 24V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26006,"Аккумулятор LITJET BLACK 1218 (LiFePO4, 18Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26007,"Аккумулятор LITJET BLACK 1275 (LiFePO4, 75Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26008,"Аккумулятор LITJET BLACK 2480 (LiFePO4, 80Ah, 24V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26009,"Аккумулятор LITJET BLACK 12200 (LiFePO4, 200Ah, 12V)",25996,КА-00005276,,Аккумулятор LiFePO4 200Ah TBB Power M12-200/H,LIFEPO4200AH,no,0.95,sig,КА-00005276,agree
26010,"Аккумулятор LITJET SMART 12100 (LiFePO4, 100Ah, 12V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26011,"Аккумулятор LITJET SMART 24100 (LiFePO4, 100Ah, 24V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
