Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
701,482,HP,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hp,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hp/,
702,482,Huaxi,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/huaxi,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/huaxi/,
703,482,Hughes,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hughes,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hughes/,
704,482,Huntleigh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/huntleigh,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/huntleigh/,
705,482,iHealth,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ihealth,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ihealth/,
706,482,Innomed,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/innomed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/innomed/,
707,482,Invivo,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/invivo,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/invivo/,
708,482,Iris,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/iris,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/iris/,
709,482,JMS,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/jms,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/jms/,
710,482,Jumper,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/jumper,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/jumper/,
711,482,Karl Storz,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/karl-storz,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/karl-storz/,
712,482,Kenz Cardico,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/kenz-cardico,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/kenz-cardico/,
713,482,LikoGuard,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/likoguard,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/likoguard/,
714,482,Maquet,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/maquet,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/maquet/,
715,482,Marco,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/marco,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/marco/,
827,482,Marquette,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/marquette,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/marquette/,
716,482,Masimo,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/masimo,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/masimo/,
