row_number,product_external_id,name,rule,scope_reason
2321,КА-00002365,"052305 Файл А4 Office Space 30мкм гладк.,глянц.100 шт. ПВ_30ГЛ страна происхождения Россия",unclassified,office
2329,КА-00002373,076787 Карандаши 12цв.ARTSpace Милые зверушки заточ.шестигран. СР_41020 страна происхождения Россия,unclassified,office
2413,КА-00002459,"Наклейки 30*25мм, глянцевая пленка",unclassified,office
2423,КА-00002469,"Корректор карандаш 7 мл, арт. W39299",unclassified,office
2424,КА-00002470,"Ластик 430 ""MILAN"", арт. CMM430",unclassified,office
2491,КА-00002538,Самоклеящася этикетка напечатанная 38*43,unclassified,office
2527,КА-00002574,"Конс.мол.""МОЛ.СГУЩ.""(цельн,8.5%,д/п)270г",unclassified,food
2533,КА-00002580,"G1025B, Корпус для РЭА 197х113х63мм, пластик, черный\Gainta",unclassified,office
2537,КА-00002584,BD-8001 Колодки тормозные LYNXauto; страна ввоза - Германия,unclassified,automotive
2585,КА-00002632,Корпус пластиковый белый,unclassified,office
2590,КА-00002637,Груша Конференция 1кг,unclassified,food
2662,КА-00002709,"Скобы №10 KANGARO (1000 шт.), арт. 10-1М",unclassified,office
2666,КА-00002713,"Карандаш c ластиком ECONOMIX ""НЕОН"", НВ, арт. 11329",unclassified,office
2680,КА-00002727,"Пластиковая ложка столовая одноразовая 16,3 см, 100 шт./упак., эконом, белая",unclassified,office
2707,КА-00002754,Кресло Бюрократ Ch-599AXSN черный TW-01 сиденье черный TW-11 сетка/ткань крестовина пластик,unclassified,office
2847,КА-00002894,"Антистеплер OfficeSpace чёрный, арт. RBL_435",unclassified,office
2946,КА-00002993,"Конф.""КРОКАНТ"" (грил.корпус глаз.) 180г",unclassified,food
3036,КА-00003083,Самоклеящася этикетка напечатанная 77*100,unclassified,office
3086,КА-00003134,"Штамп 12 IMPRINT (47х18 мм), Республика Беларусь. Артикул 2 IMPRINT",unclassified,office
3110,КА-00003158,Z07336 Колодки тормозные дисковые,unclassified,automotive
3172,КА-00003221,Самоклеящаяся этикетка напечанная пленка,unclassified,office
3205,КА-00003254,Зажим д/бумаг 19мм Classic асс.,unclassified,office
3206,КА-00003255,Зажим д/бумаг 41мм Attache черный,unclassified,office
3327,КА-00003377,"Наклейка на клавиатуру, РБ",unclassified,office
3360,КА-00003410,"Точилка пластиковая с контейнером  BRAUBERG ""Mix"", ассорти, арт. 228448",unclassified,office
3361,КА-00003411,"Скобы №10 SILWERHOF (упак.:1000шт.), арт. 422455",unclassified,office
3362,КА-00003412,"Скобы №10 STAFF 1000шт/уп, арт. 220428",unclassified,office
3363,КА-00003413,"Скобы №24/6 STAFF 1000шт/уп, арт. 220429",unclassified,office
3491,КА-00003541,"Наклейка А6, 1+0, 1056 шт.",unclassified,office
3675,КА-00003725,"Лезвия для ножа большие STAFF ""Basic"" 18 мм КОМПЛЕКТ 10 ШТ., толщина лезвия 0,38 мм, в пластиковом п",unclassified,office
4275,КА-00004327,"Карандаш чернографитный OPTIMA Pearl круглый, НВ, арт. 15537",unclassified,office
4445,КА-00004499,"Скобы №10 KANGARO (1000 шт.) жёлтый, арт. №10 yellow",unclassified,office
4479,КА-00004533,Кухонные весы Garin Высокоточные Точный Вес JS3 / БЛ17557,unclassified,household
4628,КА-00004683,Valvoline SynPower DX1 5W30 5л Масло моторное,unclassified,automotive
4629,КА-00004684,K 1316 = LA1139 KNECHT фильтр салона!\ Mazda CX-5 2.01 11>,unclassified,automotive
4630,КА-00004685,АР 113/6 _фильтр воздушный! Mazda 6/CX-5 2.0 11>,unclassified,automotive
4631,КА-00004686,Жидкость тормозная Brembo DOT 4.1л,unclassified,automotive
4632,КА-00004687,"W 6018_фильтр масляный !(OC1183)\Mazda 323/3/626, Nissan Primera 1.3-2.2 89>",unclassified,automotive
4747,КА-00004806,Холдер пластиковый 2*4 /Китай/,unclassified,office
4748,КА-00004807,Холдер пластиковый 3*4 /Китай/,unclassified,office
4749,КА-00004808,Холдер пластиковый 5*8 /Китай/,unclassified,office
4750,КА-00004809,Холдер пластиковый  4*7 /Китай/,unclassified,office
4751,КА-00004810,Холдер пластиковый 4*8 /Китай/,unclassified,office
4879,КА-00004941,32140 холдер пластиковый 1*2 / Китай/,unclassified,office
4880,КА-00004942,Кофр пластиковый 8300 ВН300*180*148 IP67 /Китай/,unclassified,office
4893,КА-00004955,Краска штемп.30мл Berlingo фиолетовая,unclassified,office
5088,КА-00005152,"Корзина д/бумаг 11л сетчатая, пласт., высота 260мм, черная 299873",unclassified,household
5094,КА-00005158,"070191 Корзина д/бумаг 11л сетчатая,пласт.,высота 260мм, черная 299873/Россия/",unclassified,household
5161,КА-00005225,"Наклейка ТЕРРА 20х40, синие",unclassified,office
5210,КА-00005275,"Наклейка 60х33 мм, с дизайном-макетом",unclassified,office
5236,КА-00005302,Самоклеящаяся этикетка напечанная 33*73 на пленке,unclassified,office
5262,КА-00005328,"25564. 160. 2 Комплект тормозный колодок, дисковой тормоз; страна ввоза-РФ",unclassified,automotive
5263,КА-00005329,DF8053 Тормозной диск; страна ввоза-РФ,unclassified,automotive
5266,КА-00005332,DF8052_диск тормозной передний!\ Mazda 6/CX-5 2.0/2 2D 11>; страна ввоза-РФ,unclassified,automotive
5267,КА-00005333,"GDB2163 Колодки тормозные дисковые задн Mazda CX-5 (KE, KF) 11-; страна ввоза-РФ",unclassified,automotive
5270,КА-00005336,"COMMA 5W30 XTECH (5L)_масло моторное!\ ACEA A5/B5,API SL/CF FORD WSS-M2C913-C (913-B;913-А); РФ",unclassified,automotive
5280,КА-00005346,Самоклеящаяся этикетка напечатанная пленка (в ассортименте),unclassified,office
5336,КА-00005402,"Антистеплер Staff Everyday №10,24/6, 26/6 черный 224628 страна происхождения Китай",unclassified,office
5337,КА-00005403,Скобы №10 Silwerhof 1000шт. оцинков. 422455/421011-40 страна происхождения Китай,unclassified,office
5367,КА-00005433,Наклейка 280х170 мм,unclassified,office
5604,КА-00005670,"Карандаш авт.0,5мм Brauberg Comfort с ласт.,корп.черн. 180284 / Китай",unclassified,office
5608,КА-00005674,"Файл А4 30мкм Brauberg Economy гладк.,глянц.,100шт. 229659  / Китай",unclassified,office
5611,КА-00005677,Краска штемп.50мл Staff Manager синяя 227530 / Россия,unclassified,office
5685,КА-00005751,Самоклеящаяся этикетка напечатанная 120*70,unclassified,office
5694,КА-00005760,Самоклеящаяся этикетка напечанная 130*55 на пленке,unclassified,office
5767,КА-00005833,Карандаш ч/г TM Staff с ласт.заточ.шестигран.корп.пласт.зал. страна происхождения Китай,unclassified,office
5793,КА-00005859,Тормозная жидкость,unclassified,automotive
5794,КА-00005860,Очиститель тормозн.,unclassified,automotive
5801,КА-00005867,Очиститель тормозных колодок и элементов сцеплен. ТУРЦИЯ,unclassified,automotive
5847,КА-00005913,Корпус пластиковый 4R25 /Китай/,unclassified,office
5876,КА-00005942,Самоклеящаяся этикетка напечатанная 75*50,unclassified,office
5919,КА-00005985,"Блокнот А5 148*210 мм, 50 л., в клетку ""AgeBag"" Clairefrontaine спираль сбоку,обл.карт.,черн. Китай",unclassified,office
5950,КА-00006016,W 6018_фильтр масляный MANN; страна ввоза - РФ,unclassified,automotive
5951,КА-00006017,Kroon Oil Xedoz FE 5W-30 5л Масло моторное; страна ввоза _ РФ,unclassified,automotive
5952,КА-00006018,К 1316= LA1139 KNECHT_фильтр салона!\,unclassified,automotive
5953,КА-00006019,F 026 400 347_фильтр воздушный!\,unclassified,automotive
5992,КА-00006058,Самоклеящаяся этикетка напечатанная 76*44,unclassified,office
6009,КА-00006075,"G1015, Корпус для РЭА 72х44х22мм, пластик, черный\Gainta, Тайвань (Китай)",unclassified,office
6020,КА-00006086,Самоклеящаяся этикетка напечатанная 40*30 пленка,unclassified,office
6068,КА-00006134,Самоклеящаяся этикетка напечатанная 130*55 / пленка,unclassified,office
6071,КА-00006137,Календари квартальные,unclassified,office
6205,КА-00006271,Самоклеящаяся этикетка напечатанная 27*60,unclassified,office
6208,КА-00006274,"Корпус для РЭА 74х44х22мм, пластик, черный",unclassified,office
6225,КА-00006291,Лопата снегоуборочная пластиковая с черенком ЛСПЛ-ЧР,unclassified,office
6289,КА-00006355,"Блокнот А5 60л.кл.н/герб., Для конференций зеленый Б5гр60 8591/Россия",unclassified,food
6321,КА-00006387,Многоразовый электрохирургический карандаш,unclassified,office
6393,КА-00006459,Этикетка с/х 58*40 ТЭКО 1000 эт./рул.,unclassified,office
6513,КА-00006579,Барабанная тормозная крышка /Китай/,unclassified,automotive
6535,КА-00006601,Самоклеящаяся этикетка напечатанная 45*50,unclassified,office
6548,КА-00006614,Файл А4 22-25мкм OfficeSpace гладк. глянцевый 100 шт./Россия,unclassified,office
6716,КА-00006782,Ластик BlueStar 6521/80 скошен. комбинир.красн./синий 6521/80/Чехия/,unclassified,office
6804,КА-00006870,Тормозная жидкость Super Dot-4 880гр. /Россия/,unclassified,automotive
7003,КА-00007069,"Файл А4 25мкм OfficeSpace гладк., глянц. 100шт./Россия/",unclassified,office
7009,КА-00007075,Корзина д/бумаг 18л. Luscan металл. сетка черная / Китай/,unclassified,household
8283,ФР-00001328,Наклейка 1+0,unclassified,office
8351,ФР-00001397,"ST2A SN Светильник ЭРА штампованный поворотный MR16,12V, 50W сатин никель(10/100),Россия.",unclassified,office
8752,ФР-00001829,"Комплект рычагов гидравлического тормоза, длина масляной трубки 1500 мм, нормальная длина тормозного",unclassified,automotive
8883,ФР-00001973,Коробка KM40022 установочная d65х46мм для полых стен (с саморезами и пластиковыми лапками),unclassified,office
9012,ФР-00002107,"Календарь квартальный А4, шапка/3 рекл, поля 350 г/м2, 4+0, 2 ст. мат. ламинация, стандартная, сетка",unclassified,office
9051,ФР-00002155,Файл А4 + 30 мкм,unclassified,office
