Bitrix ID,Название (как на сайте),Ссылка на сайте,Категория (предложено),Цена BYN,В наличии,Бренд? (кандидат),MPN? (кандидат),1С/supplier ID (из 1С),SKU (из 1С),MPN подтв. (из 1С),Категория подтв. (из 1С)
23796,"Аккумулятор APC RBC33 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23796/,akb-dlya-ibp,590,Y,APC,RBC33,,,,
20098,"Аккумулятор APC RBC34 (AGM, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20098/,akb-dlya-ibp,1230.1,Y,APC,RBC34,,,,
20091,"Аккумулятор APC RBC4 (AGM, 12Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20091/,akb-dlya-ibp,455.3,Y,APC,RBC4,,,,
20090,"Аккумулятор APC RBC43 (AGM, 5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20090/,akb-dlya-ibp,2345.3,Y,APC,RBC43,,,,
20097,"Аккумулятор APC RBC48 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20097/,akb-dlya-ibp,556.8,Y,APC,RBC48,,,,
23841,"Аккумулятор APC RBC5 (AGM, 7.5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23841/,akb-dlya-ibp,470,Y,APC,RBC5,,,,
20096,"Аккумулятор APC RBC55 (AGM, 17Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20096/,akb-dlya-ibp,2035.3,Y,APC,RBC55,,,,
23795,"Аккумулятор APC RBC59 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23795/,akb-dlya-ibp,930,Y,APC,RBC59,,,,
20095,"Аккумулятор APC RBC6 (AGM, 12Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20095/,akb-dlya-ibp,1230.4,Y,APC,RBC6,,,,
20088,"Аккумулятор APC RBC7 (AGM, 17Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/20088/,akb-dlya-ibp,1590.6,Y,APC,RBC7,,,,
